date,value,type
10:07:45 28/04/2024,996.04,Press1
10:07:45 28/04/2024,995.39,Press2
10:07:55 28/04/2024,18.14,Temp1
10:07:55 28/04/2024,18.93,Temp2
10:07:55 28/04/2024,91.02,Humid1
10:07:55 28/04/2024,44.92,Humid2
10:07:55 28/04/2024,996.08,Press1
10:07:55 28/04/2024,995.41,Press2
10:08:05 28/04/2024,18.14,Temp1
10:08:05 28/04/2024,18.93,Temp2
10:08:05 28/04/2024,91.01,Humid1
10:08:05 28/04/2024,44.62,Humid2
10:08:05 28/04/2024,996.16,Press1
10:08:05 28/04/2024,995.45,Press2
10:08:15 28/04/2024,18.14,Temp1
10:08:15 28/04/2024,18.94,Temp2
10:08:15 28/04/2024,91.01,Humid1
10:08:15 28/04/2024,44.9,Humid2
10:08:15 28/04/2024,995.97,Press1
10:08:15 28/04/2024,995.36,Press2
10:08:25 28/04/2024,18.14,Temp1
10:08:25 28/04/2024,18.94,Temp2
10:08:25 28/04/2024,91.01,Humid1
10:08:25 28/04/2024,44.9,Humid2
10:08:25 28/04/2024,996.05,Press1
10:08:25 28/04/2024,995.35,Press2
10:08:35 28/04/2024,18.14,Temp1
10:08:35 28/04/2024,18.94,Temp2
10:08:35 28/04/2024,91.01,Humid1
10:08:35 28/04/2024,44.42,Humid2
10:08:35 28/04/2024,996.02,Press1
10:08:35 28/04/2024,995.36,Press2
10:08:45 28/04/2024,18.14,Temp1
10:08:45 28/04/2024,18.92,Temp2
10:08:45 28/04/2024,91.0,Humid1
10:08:45 28/04/2024,44.61,Humid2
10:08:45 28/04/2024,996.19,Press1
10:08:45 28/04/2024,995.39,Press2
10:08:55 28/04/2024,18.13,Temp1
10:08:55 28/04/2024,18.93,Temp2
10:08:55 28/04/2024,91.01,Humid1
10:08:55 28/04/2024,44.94,Humid2
10:08:55 28/04/2024,996.02,Press1
10:08:55 28/04/2024,995.46,Press2
10:09:05 28/04/2024,18.13,Temp1
10:09:05 28/04/2024,18.93,Temp2
10:09:05 28/04/2024,91.01,Humid1
10:09:05 28/04/2024,44.82,Humid2
10:09:05 28/04/2024,996.05,Press1
10:09:05 28/04/2024,995.44,Press2
10:09:15 28/04/2024,18.12,Temp1
10:09:15 28/04/2024,18.94,Temp2
10:09:15 28/04/2024,91.01,Humid1
10:09:15 28/04/2024,44.73,Humid2
10:09:15 28/04/2024,996.02,Press1
10:09:15 28/04/2024,995.32,Press2
10:09:25 28/04/2024,18.14,Temp1
10:09:25 28/04/2024,18.92,Temp2
10:09:25 28/04/2024,91.02,Humid1
10:09:25 28/04/2024,43.97,Humid2
10:09:25 28/04/2024,996.1,Press1
10:09:25 28/04/2024,995.31,Press2
10:09:35 28/04/2024,18.13,Temp1
10:09:35 28/04/2024,18.92,Temp2
10:09:35 28/04/2024,91.02,Humid1
10:09:35 28/04/2024,44.2,Humid2
10:09:35 28/04/2024,996.14,Press1
10:09:35 28/04/2024,995.39,Press2
10:09:45 28/04/2024,18.13,Temp1
10:09:45 28/04/2024,18.92,Temp2
10:09:45 28/04/2024,91.02,Humid1
10:09:45 28/04/2024,44.39,Humid2
10:09:45 28/04/2024,996.09,Press1
10:09:45 28/04/2024,995.41,Press2
10:09:55 28/04/2024,18.14,Temp1
10:09:55 28/04/2024,18.92,Temp2
10:09:55 28/04/2024,91.01,Humid1
10:09:55 28/04/2024,44.5,Humid2
10:09:55 28/04/2024,996.15,Press1
10:09:55 28/04/2024,995.42,Press2
10:10:05 28/04/2024,18.13,Temp1
10:10:05 28/04/2024,18.93,Temp2
10:10:05 28/04/2024,91.0,Humid1
10:10:05 28/04/2024,44.44,Humid2
10:10:05 28/04/2024,996.05,Press1
10:10:05 28/04/2024,995.4,Press2
10:10:15 28/04/2024,18.13,Temp1
10:10:15 28/04/2024,18.91,Temp2
10:10:15 28/04/2024,91.0,Humid1
10:10:15 28/04/2024,44.46,Humid2
10:10:15 28/04/2024,996.08,Press1
10:10:15 28/04/2024,995.35,Press2
10:10:25 28/04/2024,18.12,Temp1
10:10:25 28/04/2024,18.9,Temp2
10:10:25 28/04/2024,90.99,Humid1
10:10:25 28/04/2024,44.25,Humid2
10:10:25 28/04/2024,996.07,Press1
10:10:25 28/04/2024,995.36,Press2
10:10:35 28/04/2024,18.13,Temp1
10:10:35 28/04/2024,18.91,Temp2
10:10:35 28/04/2024,91.0,Humid1
10:10:35 28/04/2024,44.19,Humid2
10:10:35 28/04/2024,996.09,Press1
10:10:35 28/04/2024,995.42,Press2
10:10:45 28/04/2024,18.13,Temp1
10:10:45 28/04/2024,18.9,Temp2
10:10:45 28/04/2024,91.02,Humid1
10:10:45 28/04/2024,44.51,Humid2
10:10:45 28/04/2024,996.03,Press1
10:10:45 28/04/2024,995.37,Press2
10:10:55 28/04/2024,18.13,Temp1
10:10:55 28/04/2024,18.9,Temp2
10:10:55 28/04/2024,91.02,Humid1
10:10:55 28/04/2024,44.3,Humid2
10:10:55 28/04/2024,996.06,Press1
10:10:55 28/04/2024,995.44,Press2
10:11:05 28/04/2024,18.12,Temp1
10:11:05 28/04/2024,18.91,Temp2
10:11:05 28/04/2024,91.01,Humid1
10:11:05 28/04/2024,44.68,Humid2
10:11:05 28/04/2024,996.04,Press1
10:11:05 28/04/2024,995.35,Press2
10:11:15 28/04/2024,18.12,Temp1
10:11:15 28/04/2024,18.93,Temp2
10:11:15 28/04/2024,91.01,Humid1
10:11:15 28/04/2024,44.53,Humid2
10:11:15 28/04/2024,996.04,Press1
10:11:15 28/04/2024,995.44,Press2
10:11:25 28/04/2024,18.12,Temp1
10:11:25 28/04/2024,18.92,Temp2
10:11:25 28/04/2024,91.0,Humid1
10:11:25 28/04/2024,44.58,Humid2
10:11:25 28/04/2024,996.12,Press1
10:11:25 28/04/2024,995.34,Press2
10:11:35 28/04/2024,18.12,Temp1
10:11:35 28/04/2024,18.92,Temp2
10:11:35 28/04/2024,90.99,Humid1
10:11:35 28/04/2024,44.86,Humid2
10:11:35 28/04/2024,996.06,Press1
10:11:35 28/04/2024,995.39,Press2
10:11:45 28/04/2024,18.12,Temp1
10:11:45 28/04/2024,18.94,Temp2
10:11:45 28/04/2024,90.98,Humid1
10:11:45 28/04/2024,44.93,Humid2
10:11:45 28/04/2024,996.13,Press1
10:11:45 28/04/2024,995.39,Press2
10:11:55 28/04/2024,18.13,Temp1
10:11:55 28/04/2024,18.94,Temp2
10:11:55 28/04/2024,90.97,Humid1
10:11:55 28/04/2024,44.97,Humid2
10:11:55 28/04/2024,996.19,Press1
10:11:55 28/04/2024,995.43,Press2
10:12:05 28/04/2024,18.12,Temp1
10:12:05 28/04/2024,18.93,Temp2
10:12:05 28/04/2024,90.97,Humid1
10:12:05 28/04/2024,44.56,Humid2
10:12:05 28/04/2024,996.06,Press1
10:12:05 28/04/2024,995.38,Press2
10:12:15 28/04/2024,18.11,Temp1
10:12:15 28/04/2024,18.94,Temp2
10:12:15 28/04/2024,90.95,Humid1
10:12:15 28/04/2024,44.96,Humid2
10:12:15 28/04/2024,996.05,Press1
10:12:15 28/04/2024,995.32,Press2
10:12:25 28/04/2024,18.12,Temp1
10:12:25 28/04/2024,18.95,Temp2
10:12:25 28/04/2024,90.98,Humid1
10:12:25 28/04/2024,44.56,Humid2
10:12:25 28/04/2024,996.06,Press1
10:12:25 28/04/2024,995.33,Press2
10:12:35 28/04/2024,18.11,Temp1
10:12:35 28/04/2024,18.95,Temp2
10:12:35 28/04/2024,90.98,Humid1
10:12:35 28/04/2024,44.41,Humid2
10:12:35 28/04/2024,996.1,Press1
10:12:35 28/04/2024,995.34,Press2
10:12:45 28/04/2024,18.11,Temp1
10:12:45 28/04/2024,18.95,Temp2
10:12:45 28/04/2024,90.99,Humid1
10:12:45 28/04/2024,44.7,Humid2
10:12:45 28/04/2024,996.0,Press1
10:12:45 28/04/2024,995.35,Press2
10:12:55 28/04/2024,18.11,Temp1
10:12:55 28/04/2024,18.93,Temp2
10:12:55 28/04/2024,90.97,Humid1
10:12:55 28/04/2024,44.7,Humid2
10:12:55 28/04/2024,996.14,Press1
10:12:55 28/04/2024,995.3,Press2
10:13:05 28/04/2024,18.11,Temp1
10:13:05 28/04/2024,18.94,Temp2
10:13:05 28/04/2024,90.97,Humid1
10:13:05 28/04/2024,44.5,Humid2
10:13:05 28/04/2024,996.02,Press1
10:13:05 28/04/2024,995.36,Press2
10:13:15 28/04/2024,18.12,Temp1
10:13:15 28/04/2024,18.91,Temp2
10:13:15 28/04/2024,90.99,Humid1
10:13:15 28/04/2024,44.19,Humid2
10:13:15 28/04/2024,996.12,Press1
10:13:15 28/04/2024,995.35,Press2
10:13:25 28/04/2024,18.13,Temp1
10:13:25 28/04/2024,18.91,Temp2
10:13:25 28/04/2024,91.0,Humid1
10:13:25 28/04/2024,44.27,Humid2
10:13:25 28/04/2024,996.14,Press1
10:13:25 28/04/2024,995.37,Press2
10:13:35 28/04/2024,18.11,Temp1
10:13:35 28/04/2024,18.91,Temp2
10:13:35 28/04/2024,90.99,Humid1
10:13:35 28/04/2024,44.59,Humid2
10:13:35 28/04/2024,996.03,Press1
10:13:35 28/04/2024,995.35,Press2
10:13:45 28/04/2024,18.12,Temp1
10:13:45 28/04/2024,18.91,Temp2
10:13:45 28/04/2024,91.01,Humid1
10:13:45 28/04/2024,44.54,Humid2
10:13:45 28/04/2024,995.99,Press1
10:13:45 28/04/2024,995.35,Press2
10:13:55 28/04/2024,18.12,Temp1
10:13:55 28/04/2024,18.93,Temp2
10:13:55 28/04/2024,91.0,Humid1
10:13:55 28/04/2024,44.89,Humid2
10:13:55 28/04/2024,995.95,Press1
10:13:55 28/04/2024,995.33,Press2
10:14:05 28/04/2024,18.12,Temp1
10:14:05 28/04/2024,18.94,Temp2
10:14:05 28/04/2024,90.99,Humid1
10:14:05 28/04/2024,44.65,Humid2
10:14:05 28/04/2024,996.02,Press1
10:14:05 28/04/2024,995.42,Press2
10:14:15 28/04/2024,18.11,Temp1
10:14:15 28/04/2024,18.91,Temp2
10:14:15 28/04/2024,91.02,Humid1
10:14:15 28/04/2024,44.34,Humid2
10:14:15 28/04/2024,995.94,Press1
10:14:15 28/04/2024,995.32,Press2
10:14:25 28/04/2024,18.12,Temp1
10:14:25 28/04/2024,18.93,Temp2
10:14:25 28/04/2024,91.0,Humid1
10:14:25 28/04/2024,45.03,Humid2
10:14:25 28/04/2024,995.96,Press1
10:14:25 28/04/2024,995.29,Press2
10:14:35 28/04/2024,18.11,Temp1
10:14:35 28/04/2024,18.94,Temp2
10:14:35 28/04/2024,91.0,Humid1
10:14:35 28/04/2024,44.96,Humid2
10:14:35 28/04/2024,996.0,Press1
10:14:35 28/04/2024,995.26,Press2
10:14:45 28/04/2024,18.1,Temp1
10:14:45 28/04/2024,18.92,Temp2
10:14:45 28/04/2024,91.01,Humid1
10:14:45 28/04/2024,44.72,Humid2
10:14:45 28/04/2024,995.96,Press1
10:14:45 28/04/2024,995.29,Press2
10:14:55 28/04/2024,18.11,Temp1
10:14:55 28/04/2024,18.94,Temp2
10:14:55 28/04/2024,91.0,Humid1
10:14:55 28/04/2024,44.97,Humid2
10:14:55 28/04/2024,995.99,Press1
10:14:55 28/04/2024,995.35,Press2
10:15:05 28/04/2024,18.1,Temp1
10:15:05 28/04/2024,18.94,Temp2
10:15:05 28/04/2024,91.01,Humid1
10:15:05 28/04/2024,44.64,Humid2
10:15:05 28/04/2024,995.98,Press1
10:15:05 28/04/2024,995.31,Press2
10:15:15 28/04/2024,18.11,Temp1
10:15:15 28/04/2024,18.92,Temp2
10:15:15 28/04/2024,91.01,Humid1
10:15:15 28/04/2024,44.64,Humid2
10:15:15 28/04/2024,996.02,Press1
10:15:15 28/04/2024,995.34,Press2
10:15:25 28/04/2024,18.1,Temp1
10:15:25 28/04/2024,18.93,Temp2
10:15:25 28/04/2024,91.01,Humid1
10:15:25 28/04/2024,44.33,Humid2
10:15:25 28/04/2024,995.96,Press1
10:15:25 28/04/2024,995.36,Press2
10:15:35 28/04/2024,18.1,Temp1
10:15:35 28/04/2024,18.92,Temp2
10:15:35 28/04/2024,91.02,Humid1
10:15:35 28/04/2024,44.55,Humid2
10:15:35 28/04/2024,995.97,Press1
10:15:35 28/04/2024,995.29,Press2
10:15:45 28/04/2024,18.11,Temp1
